code;attribute;sort_order;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
7948;manufacturer;1;A&B;A&B;A&B;A&B
1150;manufacturer;2;Advance;Advance;Advance;Advance
1152;manufacturer;3;"Alien Flex";"Alien Flex";"Alien Flex";"Alien Flex"
1163;manufacturer;4;Artero;Artero;Artero;Artero
7949;manufacturer;5;"Be Trendy";"Be Trendy";"Be Trendy";"Be Trendy"
7953;manufacturer;6;Beco;Beco;Beco;Beco
1160;manufacturer;7;Bocados;Bocados;Bocados;Bocados
7957;manufacturer;8;Canitex;Canitex;Canitex;Canitex
7960;manufacturer;9;Cliffi;Cliffi;Cliffi;Cliffi
1220;manufacturer;10;Cosequin;Cosequin;Cosequin;Cosequin
1223;manufacturer;11;Dermoscent;Dermoscent;Dermoscent;Dermoscent
1167;manufacturer;12;Dingo;Dingo;Dingo;Dingo
7759;manufacturer;13;Elanco;Elanco;Elanco;Elanco
1158;manufacturer;14;Helasty;Helasty;Helasty;Helasty
7970;manufacturer;15;"Highland Dog Chews";"Highland Dog Chews";"Highland Dog Chews";"Highland Dog Chews"
8016;manufacturer;16;Leisguard;Leisguard;Leisguard;Leisguard
1157;manufacturer;17;Mhims;Mhims;Mhims;Mhims
1159;manufacturer;18;Moments;Moments;Moments;Moments
7983;manufacturer;19;"My Dog Bakiez";"My Dog Bakiez";"My Dog Bakiez";"My Dog Bakiez"
1155;manufacturer;20;"Natura Diet";"Natura Diet";"Natura Diet";"Natura Diet"
1156;manufacturer;21;"Natural Menú";"Natural Menú";"Natural Menú";"Natural Menú"
8018;manufacturer;22;Simparica;Simparica;Simparica;Simparica
8010;manufacturer;23;Vadigran;Vadigran;Vadigran;Vadigran
8017;manufacturer;24;Vectra;Vectra;Vectra;Vectra
1147;manufacturer;25;"Vigor& Sage";"Vigor& Sage";"Vigor& Sage";"Vigor& Sage"
1168;manufacturer;26;ZeeDog;ZeeDog;ZeeDog;ZeeDog
7758;manufacturer;27;Zoetis;Zoetis;Zoetis;Zoetis
1154;manufacturer;28;Acana;Acana;Acana;Acana
1169;manufacturer;29;Advantix;Advantix;Advantix;Advantix
1271;manufacturer;30;"Aquarium Systems";"Aquarium Systems";"Aquarium Systems";"Aquarium Systems"
1784;manufacturer;31;Skipdawg;Skipdawg;Skipdawg;Skipdawg
1385;manufacturer;32;Tetra;Tetra;Tetra;Tetra
1751;manufacturer;33;"Woof & Brew";"Woof & Brew";"Woof & Brew";"Woof & Brew"
1384;manufacturer;34;Zee_Dog;Zee_Dog;Zee_Dog;Zee_Dog
1170;manufacturer;35;Advantage;Advantage;Advantage;Advantage
1171;manufacturer;36;Adaptil;Adaptil;Adaptil;Adaptil
1172;manufacturer;37;"Almo Nature";"Almo Nature";"Almo Nature";"Almo Nature"
1173;manufacturer;38;"Natural Menu";"Natural Menu";"Natural Menu";"Natural Menu"
1435;manufacturer;39;TMC;TMC;TMC;TMC
708;manufacturer;40;"Alpha Spirits";"Alpha Spirits";"Alpha Spirits";"Alpha Spirits"
709;manufacturer;41;Anima_Strath;Anima_Strath;Anima_Strath;Anima_Strath
710;manufacturer;42;Applaws;Applaws;Applaws;Applaws
712;manufacturer;43;Beaphar;Beaphar;Beaphar;Beaphar
714;manufacturer;44;Bogadent;Bogadent;Bogadent;Bogadent
715;manufacturer;45;Bolfo;Bolfo;Bolfo;Bolfo
716;manufacturer;46;Brit;Brit;Brit;Brit
717;manufacturer;47;Camon;Camon;Camon;Camon
719;manufacturer;48;Capstar;Capstar;Capstar;Capstar
720;manufacturer;49;Carefresh;Carefresh;Carefresh;Carefresh
721;manufacturer;50;Carnilove;Carnilove;Carnilove;Carnilove
722;manufacturer;51;"Cat Chow";"Cat Chow";"Cat Chow";"Cat Chow"
723;manufacturer;52;"Cats Best";"Cats Best";"Cats Best";"Cats Best"
724;manufacturer;53;Catisfaction;Catisfaction;Catisfaction;Catisfaction
726;manufacturer;54;Catit;Catit;Catit;Catit
727;manufacturer;55;Catlover;Catlover;Catlover;Catlover
729;manufacturer;56;Chipsi;Chipsi;Chipsi;Chipsi
730;manufacturer;57;Cominter;Cominter;Cominter;Cominter
731;manufacturer;58;Corpet;Corpet;Corpet;Corpet
732;manufacturer;59;"Dog Chow";"Dog Chow";"Dog Chow";"Dog Chow"
733;manufacturer;60;Dogit;Dogit;Dogit;Dogit
1297;manufacturer;61;Tartuguex;Tartuguex;Tartuguex;Tartuguex
734;manufacturer;62;"Dr_ Clauders";"Dr_ Clauders";"Dr_ Clauders";"Dr_ Clauders"
