code;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
name;;;;;;;;4;1;;;;;;;;;0;1;pim_catalog_text;0;1;;;;"Nome do Produto";"Product Name";"Product Name";"Product Name"
description;;;;;;;;4;1;;;;;;;;;0;1;pim_catalog_textarea;0;1;;;;Descrição;Description;Description;Descrição
short_description;;;;;;;;4;1;;;;;;;;;0;1;pim_catalog_textarea;0;1;;;;"Short Description";"Short Description";"Short Description";"Short Description"
sku;;;;;;;;4;0;;;;;;;;;0;1;pim_catalog_identifier;1;1;;;;SKU;SKU;SKU;SKU
price;;;;;;0;;4;0;;;;;;;;;0;1;pim_catalog_price_collection;0;1;;;;Preço;Price;Price;Price
special_price;;;;;;0;;4;0;;;;;;;;;0;1;pim_catalog_price_collection;0;1;;;;"Special Price";"Special Price";"Special Price";"Special Price"
special_from_date;;;;;;;;4;0;;;;;;;;;0;1;pim_catalog_date;0;1;;;;"Special Price From Date";"Special Price From Date";"Special Price From Date";"Special Price From Date"
special_to_date;;;;;;;;4;0;;;;;;;;;0;1;pim_catalog_date;0;1;;;;"Special Price To Date";"Special Price To Date";"Special Price To Date";"Special Price To Date"
cost;;;;;;0;;4;0;;;;;;;;;0;1;pim_catalog_price_collection;0;1;;;;Cost;Cost;Cost;Cost
weight;;;;;;0;;4;0;;;;;1;;;;0;1;pim_catalog_number;0;1;;;;Peso;Weight;Weight;Weight
manufacturer;;;;;;;;4;0;;;;;;;;;0;1;pim_catalog_simpleselect;0;1;;;;Marca;Brand;Marca;Manufacturer
meta_title;;;;;;;;4;1;;;;;;;;;0;1;pim_catalog_text;0;1;;;;"Meta Title";"Meta Title";"Meta Title";"Meta Title"
