code;parent;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
1;;"Root Catalog";"Root Catalog";"Root Catalog";"Root Catalog"
2;1;"Default Store";"Default Store";"Default Store";"Default Store"
537;;"Vitamins & Supplements";"Vitamins & Supplements";"Vitamins & Supplements";"Vitamins & Supplements"
356;2;Cães;Dogs;Perros;Cães
358;2;Gatos;Cats;Gatos;Gatos
681;2;Peixes;Fish;Peces;Peixes
403;2;"Outros Animais";"Small Pets";"Otras Mascotas";"Outros Animais"
419;2;"Produtos Populares";"Popular Products";"Los más buscados";"Produtos Populares"
420;2;"Em Destaque";"Most wanted";Diversión;"Em Destaque"
421;2;"Para os Recém-chegados";"For your new friend";"Para recién llegados";"Para os Recém-chegados"
422;2;"Popular Products HP";"Popular Products HP";"Popular Products HP";"Popular Products HP"
423;2;"Most wanted HP";"Most wanted HP";"Most wanted HP";"Most wanted HP"
424;2;"For your new friend HP";"For your new friend HP";"For your new friend HP";"For your new friend HP"
425;2;k-nine-products;k-nine-products;k-nine-products;k-nine-products
427;2;"ZeeDog Mais populares";"ZeeDog Mais populares";"ZeeDog Mais populares";"ZeeDog Mais populares"
428;2;"ZeeDog Coleiras";"ZeeDog Coleiras";"ZeeDog Coleiras";"ZeeDog Coleiras"
429;2;"ZeeDog Trelas";"ZeeDog Trelas";"ZeeDog Trelas";"ZeeDog Trelas"
430;2;"ZeeDog Peitorais";"ZeeDog Peitorais";"ZeeDog Peitorais";"ZeeDog Peitorais"
431;2;"ZeeDog Outros";"ZeeDog Outros";"ZeeDog Outros";"ZeeDog Outros"
432;2;"ZeeDog Laçarotes";"ZeeDog Laçarotes";"ZeeDog Laçarotes";"ZeeDog Laçarotes"
435;2;Seresto;Seresto;Seresto;Seresto
436;2;"Royal Canin Gatos";"Royal Canin Gatos";"Royal Canin Gatos";"Royal Canin Gatos"
437;2;"Frontline Cães";"Frontline Cães";"Frontline Cães";"Frontline Cães"
438;2;"Frontline Gatos";"Frontline Gatos";"Frontline Gatos";"Frontline Gatos"
439;2;"Royal Canin Cães";"Royal Canin Cães";"Royal Canin Cães";"Royal Canin Cães"
453;2;"ZeeDog Gatos";"ZeeDog Gatos";"ZeeDog Gatos";"ZeeDog Gatos"
454;2;"ZeeDog Brinquedos";"ZeeDog Brinquedos";"ZeeDog Brinquedos";"ZeeDog Brinquedos"
455;2;Rações;Food;Piensos;Rações
458;2;"Acana & Orijen";"Acana & Orijen";"Acana & Orijen";"Acana & Orijen"
463;2;"ZeeDog Mahalo";"ZeeDog Mahalo";"ZeeDog Mahalo";"ZeeDog Mahalo"
464;2;Libra;Libra;Libra;Libra
467;2;Acessórios;Accessories;Accesorios;Acessórios
470;2;Brinquedos;Toys;Juguetes;Brinquedos
473;2;"WestPaw + AlienFlex";"WestPaw + AlienFlex";"WestPaw + AlienFlex";"WestPaw + AlienFlex"
474;2;"Categorias Product Recommender";"Categorias Product Recommender";"Categorias Product Recommender";"Categorias Product Recommender"
515;2;Natal;"On Sale - Christmas";"Rebajas - Navidad";Natal
527;2;"Disable Google Shopping";"Disable Google Shopping";"Disable Google Shopping";"Disable Google Shopping"
528;2;"Primavera 2019";"Spring 2019";"Primavera 2019";"Primavera 2019"
586;2;"ZeeDog Sales";"ZeeDog Sales";"ZeeDog Sales";"ZeeDog Sales"
651;2;"Big Color Blocks HP";"Big Color Blocks HP";"Big Color Blocks HP";"Big Color Blocks HP"
656;2;Promoções;Sales;Rebajas;Promoções
669;2;Newsletter;Newsletter;Newsletter;Newsletter
748;2;"Home Page";"Home Page";"Home Page";"Home Page"
478;474;Castrados;Castrados;Castrados;Castrados
477;474;"Não Castrados";"Não Castrados";"Não Castrados";"Não Castrados"
465;464;"Libra Cão";"Libra Cão";"Libra Cão";"Libra Cão"
410;403;Aves;Birds;Pájaros;Aves
468;467;Cães;Dogs;Perros;Cães
749;748;"Presentes Originais";"Best Gift Ideas";"Mejores Regalos";"Presentes Originais"
471;470;Cães;Dogs;Perros;Cães
516;515;Rações;Food;Piensos;Rações
682;681;Comida;"Food & Treats";Comida;Comida
440;439;"Royal Canin Cães - Dietas especiais";"Royal Canin Cães - Dietas especiais";"Royal Canin Cães - Dietas especiais";"Royal Canin Cães - Dietas especiais"
588;358;Alimentação;Food;Food;Alimentação
587;356;Alimentação;Food;Food;Alimentação
657;656;"West Paw - 50% OFF";"West Paw - 50% OFF";"West Paw - 50% OFF";"West Paw - 50% OFF"
447;436;"Royal Canin Gatos - Nível de Atividade";"Royal Canin Gatos - Nível de Atividade";"Royal Canin Gatos - Nível de Atividade";"Royal Canin Gatos - Nível de Atividade"
652;651;"Big Color Blocks HP - Food";"Big Color Blocks HP - Food";"Big Color Blocks HP - Food";"Big Color Blocks HP - Food"
670;669;Outdoors;Outdoors;Outdoors;Outdoors
456;455;Cães;Dogs;Perros;Cães
405;403;Roedores;Rodents;Roedores;Roedores
459;458;"Acana Gatos";"Acana Gatos";"Acana Gatos";"Acana Gatos"
466;464;"Libra Gato";"Libra Gato";"Libra Gato";"Libra Gato"
441;439;"Royal Canin Cães Snacks";"Royal Canin Cães Snacks";"Royal Canin Cães Snacks";"Royal Canin Cães Snacks"
472;470;Gatos;Cats;Gatos;Gatos
457;455;Gatos;Cats;Gatos;Gatos
469;467;Gatos;Cats;Gatos;Gatos
448;436;"Royal Canin Gatos Raça";"Royal Canin Gatos Raça";"Royal Canin Gatos Raça";"Royal Canin Gatos Raça"
418;403;Répteis;Reptiles;Reptiles;Répteis
364;358;Farmacológicos;"Health & Wellness";Farmacológicos;Farmacológicos
671;669;"Fontes de Água";"Water Fountains";"Water Fountains";"Fontes de água"
517;515;"LP Natal";"LP Natal";"LP Natal";"LP Natal"
742;656;"Black Friday";"Black Friday Best Deals";"Black Friday Best Deals";"Black Friday"
362;356;Farmacológicos;"Health & Wellness";Farmacológicos;Farmacológicos
737;681;Acessórios;Supplies;Supplies;Acessórios
754;748;Bravecto;Bravecto;Bravecto;Bravecto
460;458;"Acana Cães";"Acana Cães";"Acana Cães";"Acana Cães"
480;474;"Portal Home Page";"Portal Home Page";"Portal Home Page";"Portal Home Page"
653;651;"Big Color Blocks HP - Toys";"Big Color Blocks HP - Toys";"Big Color Blocks HP - Toys";"Big Color Blocks HP - Toys"
654;651;"BIg Color Blocks HP - Accessories";"BIg Color Blocks HP - Accessories";"BIg Color Blocks HP - Accessories";"BIg Color Blocks HP - Accessories"
370;356;Acessórios;Accessories;Accesorios;Acessórios
672;669;"Zee.Dog Neopro - Cães";"Zee.Dog Neopro - Dogs";"Zee.Dog Neopro - Dogs";"Zee.Dog Neopro - Cães"
442;439;"Royal Canin Cães Raças";"Royal Canin Cães Raças";"Royal Canin Cães Raças";"Royal Canin Cães Raças"
366;358;Acessórios;Accessories;Accesorios;Acessórios
449;436;"Royal Canin Gatos Vet Care";"Royal Canin Gatos Vet Care";"Royal Canin Gatos Vet Care";"Royal Canin Gatos Vet Care"
